ID_Cliente,Risco
5001712,0
5001713,0
5001714,0
5001715,0
5001717,0
5001718,0
5001719,0
5001720,0
5001723,0
5001724,0
5001726,0
5001730,0
5001732,0
5001735,0
5001736,0
5001737,0
5001738,0
5001739,0
5001742,0
5001743,0
5001744,0
5001747,0
5001748,0
5001756,0
5001757,0
5001758,0
5001759,0
5001760,0
5001765,0
5001766,0
5001767,0
5001769,0
5001770,0
5001771,0
5001772,0
5001773,0
5001774,0
5001775,0
5001778,0
5001779,0
5001780,0
5001783,0
5001784,0
5001785,0
5001786,0
5001787,0
5001788,0
5001789,0
5001790,0
5001791,0
5001792,0
5001793,0
5001794,0
5001795,0
5001796,0
5001798,0
5001803,0
5001805,0
5001806,0
5001807,0
5001808,0
5001812,0
5001818,0
5001819,0
5001824,0
5001827,0
5001829,0
5001831,0
5001832,0
5001833,0
5001836,0
5001837,0
5001838,0
5001839,0
5001840,0
5001841,0
5001842,0
5001843,0
5001844,0
5001846,0
5001847,0
5001848,0
5001852,0
5001853,0
5001854,0
5001855,0
5001856,0
5001857,0
5001858,0
5001859,0
5001861,0
5001862,0
5001863,0
5001864,0
5001870,0
5001871,0
5001873,0
5001874,0
5001875,0
5001876,0
5001877,0
5001883,0
5001888,0
5001889,0
5001890,0
5001891,0
5001892,0
5001893,0
5001894,0
5001895,0
5001896,0
5001898,0
5001899,0
5001900,0
5001901,0
5001904,0
5001905,0
5001906,0
5001918,0
5001919,0
5001920,0
5001921,0
5001922,0
5001923,0
5001927,0
5001932,0
5001933,0
5001936,0
5001940,0
5001941,0
5001942,0
5001943,0
5001944,0
5001946,0
5001947,0
5001948,0
5001949,0
5001951,0
5001952,0
5001953,0
5001954,0
5001956,0
5001957,0
5001958,0
5001959,0
5001960,0
5001964,0
5001965,0
5001966,0
5001967,0
5001968,0
5001970,0
5001976,0
5001982,0
5001983,0
5001986,0
5001987,0
5001988,0
5001989,0
5001990,0
5001991,0
5001993,0
5001994,0
5001995,0
5001996,0
5001997,0
5001998,0
5001999,0
5002000,0
5002001,0
5002002,0
5002003,0
5002004,0
5002005,0
5002006,0
5002007,0
5002008,0
5002009,0
5002010,0
5002011,0
5002012,0
5002013,0
5002015,0
5002019,0
5002020,0
5002021,0
5002022,0
5002023,0
5002026,0
5002028,0
5002031,0
5002032,0
5002033,0
5002034,0
5002035,0
5002037,0
5002038,0
5002041,0
5002042,0
5002043,0
5002044,0
5002046,0
5002047,0
5002048,0
5002049,0
5002050,0
5002052,0
5002053,0
5002054,0
5002055,0
5002057,0
5002058,0
5002059,0
5002060,0
5002061,0
5002068,0
5002069,0
5002072,0
5002073,0
5002078,0
5002079,0
5002083,0
5002084,0
5002085,0
5002087,0
5002088,0
5002091,0
5002094,0
5002096,0
5002097,0
5002098,0
5002101,0
5002104,0
5002105,0
5002107,0
5002108,0
5002112,0
5002113,0
5002114,0
5002115,0
5002116,0
5002120,0
5002121,0
5002123,0
5002126,1
5002128,0
5002130,0
5002131,0
5002134,0
5002138,0
5002140,0
5002141,0
5002142,0
5002144,0
5002145,0
5002146,0
5002147,0
5002149,0
5002150,0
5002151,0
5002152,0
5002153,0
